"mall_or_street","mall_or_street_name","merchant_category","merchant_name","address"
"In-Mall & Building","Bugis Cube","RESTAURANT","SPICY ROAST FISH","470 NORTH BRIDGE ROAD #01-03 SINGAPORE 188735"
"Street","Bukit Pasoh Road","RETAIL","SPIQ","10 BUKIT PASOH ROAD SINGAPORE 089824"
"Street","Beach Road","RETAIL","SPIQ HAIR BASE ","261 BEACH ROAD SINGAPORE 199541"
"In-Mall & Building","Punggol Waterway Point","RETAIL","SKP","83 PUNGGOL CENTRAL #B1-K21B/K21C SINGAPORE 828761"
"Street","Beach Road","RETAIL","SPORTS CENTER","2 BEACH ROAD #01-4801 SINGAPORE 190002"
"In-Mall & Building","Plaza Singapura","RETAIL","SPOTLIGHT","68 ORCHARD ROAD #05-11/19 SINGAPORE 238839"
"Street","Upper Cross Street","RESTAURANT","SPRING COURT RESTAURANT","52 - 56 UPPER CROSS STREET SINGAPORE 058348"
"Street","Syed Alwi Road","RESTAURANT","SRI KUMBHAKARNA","77 SYED ALWI ROAD SINGAPORE 207656"
"Street","Syed Alwi Road","RETAIL","SRI MURUGAN","86 SYED ALWI ROAD SINGAPORE 207665"
"Street","East Coast Road","RETAIL","SRI MURUGAN","46 EAST COAST ROAD #01-01 SINGAPORE 428766"
"Street","Serangoon Garden Way","RESTAURANT","SRISUN EXPRESS","56 SERANGOON GARDEN WAY SINGAPORE 555952"
"Street","Haji Lane","RETAIL","SSFW","75 HAJI LANE SINGAPORE 189268"
"In-Mall & Building","Westgate","RETAIL","SSS","3 GATEWAY DRIVE #01-35/36 SINGAPORE 608532"
"Street","Joo Chiat Road","RESTAURANT","STAPLE FOOD SINGAPORE","196 JOO CHIAT ROAD #01-01 SINGAPORE 427469"
"In-Mall & Building","IMM Building","RETAIL","STAR LIVING","2 JURONG EAST STREET 21 #03-20 SINGAPORE 609601"
"In-Mall & Building","Paya Lebar Quarter","RETAIL","STAR WATCHES","10 PAYA LEBAR ROAD #01-36 SINGAPORE 409057"
"Street","Amoy Street","RESTAURANT","STAYGOLD/FLAMINGO","68 AMOY STREET SINGAPORE 069887"
"In-Mall & Building","NEX","RESTAURANT","STEAK 99","23 SERANGOON CENTRAL #03-06 SINGAPORE 556083"
"In-Mall & Building","Plaza Singapura","RESTAURANT","STEAK 99 ","68 ORCHARD ROAD #04-65 SINGAPORE 238839"
"Street","Beach Road","RESTAURANT","STEAMOV","367/369 BEACH ROAD SINGAPORE 199579"
"In-Mall & Building","Bugis Junction","RETAIL","STELLAR","200 VICTORIA STREET #02-40 SINGAPORE 188021"
"In-Mall & Building","NEX","RETAIL","STELLAR","23 SERANGOON CENTRAL #01-K13/K14 SINGAPORE 556083"
"In-Mall & Building","Northpoint City","RETAIL","STELLAR","930 YISHUN AVENUE 2 #02-35 SINGAPORE 769098"
"In-Mall & Building","Punggol Waterway Point","RETAIL","STELLAR","83 PUNGGOL CENTRAL #01-K17 SINGAPORE 828761"
"In-Mall & Building","Plaza Singapura","RETAIL","STEREO ELECTRONICS ","68 ORCHARD ROAD #04-06 SINGAPORE 238839"
"In-Mall & Building","Tampines Mall","RETAIL","STERRA","4 TAMPINES CENTRAL 5 #03-18 SINGAPORE 408830"
"In-Mall & Building","NEX","RETAIL","STERRA ","23 SERANGOON CENTRAL #02-56 SINGAPORE 138565"
"In-Mall & Building","IMM Building","RETAIL","STEVE MADDEN","2 JURONG EAST STREET 21 #01-05/06 SINGAPORE 609601"
"In-Mall & Building","Bugis+","RESTAURANT","STICKS & STONES","201 VICTORIA STREET #07-05/06 BUGIS + SINGAPORE 188067"
"In-Mall & Building","Bugis Cube","RESTAURANT","STONE POT FROG WITH FISH","470 NORTH BRIDGE ROAD #01-04 SINGAPORE 188735"
"Street","Peck Seah Street","RESTAURANT","STORY ONE","60 PECK SEAH STREET SINGAPORE 079323"
"Street","Cecil Street","RESTAURANT","STRAITS CHINESE SEAFOOD RESTAURANT","133 CECIL STREET #B1-01 SINGAPORE 069535"
"In-Mall & Building","IMM Building","RESTAURANT","STREATS","2 JURONG EAST ST 21 #02-17/17A SINGAPORE 609601"
"Street","Lorong Mambong","RETAIL","STRIP ","34C LORONG MAMBONG SINGAPORE 277691"
"In-Mall & Building","Parkway Parade","RETAIL","STRIP ","80 MARINE PARADE ROAD #B1-83G SINGAPORE 449269"
"In-Mall & Building","Punggol Waterway Point","RETAIL","STRIP ","83 PUNGGOL CENTRAL #01-61 SINGAPORE 828761"
"In-Mall & Building","Republic Plaza","RESTAURANT","STUFF'D","9 RAFFLES PLACE #B1-11 SINGAPORE 048619"
"In-Mall & Building","Guoco Tower","RESTAURANT","STUFF'D","1 WALLICH STREET #B1-23 SINGAPORE 078881"
"In-Mall & Building","Bugis Junction","RESTAURANT","STUFF'D","200 VICTORIA STREET #B1-K7 SINGAPORE 188021"
"In-Mall & Building","Plaza Singapura","RESTAURANT","STUFF'D","68 ORCHARD ROAD #B2-43 SINGAPORE 238839"
"In-Mall & Building","The Woodleigh Mall","RESTAURANT","STUFF'D","11 BIDADARI PARK DRIVE #B1-K25 SINGAPORE 367803"
"In-Mall & Building","Parkway Parade","RESTAURANT","STUFF'D","80 MARINE PARADE ROAD #01-K39 PARKWAY PARADE SINGAPORE 449269"
"In-Mall & Building","Bedok Mall","RESTAURANT","STUFF'D","311 NEW UPPER CHANGI ROAD #B2-22 SINGAPORE 467360"
"In-Mall & Building","Tampines Mall","RESTAURANT","STUFF'D","4 TAMPINES CENTRAL 5 #B1-K13 SINGAPORE 529510"
"In-Mall & Building","NEX","RESTAURANT","STUFF'D","23 SERANGOON CENTRAL #B2-47A SINGAPORE 556083"
"In-Mall & Building","Junction 8","RESTAURANT","STUFF'D","9 BISHAN PLACE #B1-19A SINGAPORE 579837"
"In-Mall & Building","Lot One","RESTAURANT","STUFF'D","21 CHOA CHU KANG AVENUE 4 #B1-K26 SINGAPORE 689812"
"In-Mall & Building","Northpoint City","RESTAURANT","STUFF'D","930 YISHUN AVENUE 2 #B1-43 SINGAPORE 769098"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","STUFF'D","83 PUNGGOL CENTRAL #B2-K1 SINGAPORE 828761"
"In-Mall & Building","Marina Bay Link Mall","RESTAURANT","SUBWAY","8A MARINA BOULEVARD #B2-19 SINGAPORE 018984"
"In-Mall & Building","100AM","RESTAURANT","SUBWAY","100 TRAS STREET #01-15 SINGAPORE 079027"
"In-Mall & Building","The Star Vista","RESTAURANT","SUBWAY","1 VISTA EXCHANGE GREEN #02-22 SINGAPORE 138617"
"In-Mall & Building","Bugis Junction","RESTAURANT","SUBWAY","200 VICTORIA STREET #B1-25A SINGAPORE 188021"
"Street","Lorong Liput","RESTAURANT","SUBWAY","25B LORONG LIPUT SINGAPORE 277735"
"In-Mall & Building","Siglap Centre","RESTAURANT","SUBWAY","55 SIGLAP ROAD #01-13/14 SINGAPORE 455871"
"In-Mall & Building","NEX","RESTAURANT","SUBWAY","23 SERANGOON CENTRAL #02-10 SINGAPORE 556083"
"In-Mall & Building","IMM Building","RESTAURANT","SUBWAY","2 JURONG EAST STREET 21 #01-114 SINGAPORE 609601"
"In-Mall & Building","West Mall","RESTAURANT","SUBWAY","1 BUKIT BATOK CENTRAL LINK #01-18/19 SINGAPORE 658713"
"In-Mall & Building","Northpoint City","RESTAURANT","SUBWAY","930 YISHUN AVENUE 2 #B2-03 SINGAPORE 769098"
"In-Mall & Building","NEX","RETAIL","SUGAR CUBE","23 SERANGOON CENTRAL #04-K8 SINGAPORE 556083"
"Street","East Coast Road","RETAIL","SUGARED","77 EAST COAST ROAD #01-01 SINGAPORE 428784"
"Street","Liang Seah Street","RESTAURANT","SUHANG GOURMET","36 LIANG SEAH STREET SINGAPORE 189057"
"In-Mall & Building","Republic Plaza","RESTAURANT","SUKHUMVIT 100","9 RAFFLES PLACE #B1-18 SINGAPORE 048619"
"In-Mall & Building","Paya Lebar Quarter","RESTAURANT","SUKIYA","10 PAYA LEBAR ROAD #B1-15/16 SINGAPORE 409057"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","SUKIYA","83 PUNGGOL CENTRAL #B1-23 SINGAPORE 828761"
"In-Mall & Building","Bugis+","RESTAURANT","SUKI-YA","201 VICTORIA STREET #04-14/15 SINGAPORE 188067"
"In-Mall & Building","Plaza Singapura","RESTAURANT","SUKI-YA","68 ORCHARD ROAD #04-62 SINGAPORE 238839"
"In-Mall & Building","Northpoint City","RESTAURANT","SUKIYA ","1 NORTHPOINT DRIVE #01-126 SINGAPORE 768019"
"Street","Tanjong Pagar Road","RESTAURANT","SUKIYAKI YOTARO","106 TANJONG PAGAR ROAD SINGAPORE 088525"
"Street","Joo Chiat Road","RETAIL","SULTANS OF SHAVE","201 JOO CHIAT ROAD #02-02 SINGAPORE 427472"
"In-Mall & Building","Westgate","RETAIL","SULWHASOO ","3 GATEWAY DRIVE #01-28 SINGAPORE 608532"
"Street","Erskine Road","RETAIL","SUMARI INTERNATIONAL JEWELLERY","33 ERSKINE ROAD #01-11 SINGAPORE 069333"
"In-Mall & Building","Bugis+","RETAIL","SUN AND SAND SPORT","201 VICTORIA STREET #01-04/05 SINGAPORE 188067"
"In-Mall & Building","Plaza Singapura","RETAIL","SUN PARADISE","68 ORCHARD ROAD #03-15 SINGAPORE 238839"
"In-Mall & Building","Parkway Parade","RETAIL","SUN PARADISE","80 MARINE PARADE ROAD #02-53/54 SINGAPORE 449269"
"In-Mall & Building","Junction 8","RETAIL","SUN PARADISE","9 BISHAN PLACE #02-44 SINGAPORE 579837"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","SUNDAY BEDDING ","211 HOLLAND AVENUE #01-K4 SINGAPORE 179103"
"Street","Joo Chiat Road","RETAIL","SUNDAY BEDDING ","479 JOO CHIAT ROAD SINGAPORE 427684"
"In-Mall & Building","IMM Building","RETAIL","SUNGLASS HUT","2 JURONG EAST STREET 21 #01-K28/K29 SINGAPORE 609601"
"In-Mall & Building","Bugis Junction","RETAIL","SUNNYSTEP ","200 VICTORIA STREET #02-38C SINGAPORE 188021"
"In-Mall & Building","Tampines Mall","RETAIL","SUNNYSTEP ","4 TAMPINES CENTRAL 5 #02-13 SINGAPORE 529510"
"In-Mall & Building","NEX","RETAIL","SUNNYSTEP ","23 SERANGOON CENTRAL #02-34 SINGAPORE 556083"
"In-Mall & Building","Westgate","RETAIL","SUNNYSTEP ","3 GATEWAY DRIVE #02-39A SINGAPORE 608532"
"In-Mall & Building","Custom House","RESTAURANT","SUPER LOCO","70 COLLYER QUAY #01-04 SINGAPORE 049323"
"Street","Upper East Coast Road","RETAIL","SUPERCUTS","21 UPPER EAST COAST ROAD SINGAPORE 455210"
"In-Mall & Building","The Arcade","RESTAURANT","SUPERGREEN","11 COLLYER QUAY #01-22 SINGAPORE 049317"
"Street","Cecil Street","RESTAURANT","SUPERGREEN","182 CECIL STREET #02-04 SINGAPORE 069547"
"In-Mall & Building","International Plaza","RESTAURANT","SUPERGREEN","10 ANSON ROAD #01-39 SINGAPORE 079903"
"In-Mall & Building","The Star Vista","RESTAURANT","SUPERGREEN","1 VISTA EXCHANGE GREEN #02-27 SINGAPORE 138617"
"In-Mall & Building","Northpoint City","RESTAURANT","SUPERGREEN","930 YISHUN AVENUE 2 #B1-15 SINGAPORE 769098"
"In-Mall & Building","Plaza Singapura","RETAIL","SUPERGURL","68 ORCHARD ROAD #B1-15 SINGAPORE 238839"
"Street","Tanjong Pagar Road","RESTAURANT","SUPERSTAR K","75 TANJONG PAGAR ROAD SINGAPORE 088496"
"In-Mall & Building","Bedok Mall","RETAIL","SURFERS PARADISE","311 NEW UPPER CHANGI ROAD #01-57-59 SINGAPORE 467360"
"Street","Arab Street","RETAIL","SURIA FABRICS","85 ARAB STREET SINGAPORE 199781"
"Street","Baghdad Street","RESTAURANT","SUSHI AIRWAYS","20A BAGHDAD STREET SINGAPORE 199659"
"In-Mall & Building","Bugis Cube","RESTAURANT","SUSHI DOROBO","470 NORTH BRIDGE ROAD #03-17 BUGIS CUBE SINGAPORE 188735"
"In-Mall & Building","Parkway Parade","RESTAURANT","SUSHI EXPRESS","80 MARINE PARADE ROAD #01-K33 & K34 SINGAPORE 409057"
"In-Mall & Building","Paya Lebar Quarter","RESTAURANT","SUSHI EXPRESS","10 PAYA LEBAR ROAD #04-12 SINGAPORE 409057"
"In-Mall & Building","Tampines Mrt Station","RESTAURANT","SUSHI EXPRESS","20 TAMPINES CENTRAL 1 #01-29 SINGAPORE 529538"
"In-Mall & Building","NEX","RESTAURANT","SUSHI EXPRESS","23 SERANGOON CENTRAL #B1-38/39/40 SINGAPORE 556083"
"In-Mall & Building","Junction 8","RESTAURANT","SUSHI EXPRESS","9 BISHAN PLACE #B1-23 SINGAPORE 579837"
"In-Mall & Building","Westgate","RESTAURANT","SUSHI EXPRESS","3 GATEWAY DRIVE #B1-26 SINGAPORE 608532"
"In-Mall & Building","IMM Building","RESTAURANT","SUSHI EXPRESS","2 JURONG EAST ST 21 #02-64 SINGAPORE 609601"
"In-Mall & Building","West Mall","RESTAURANT","SUSHI EXPRESS","1 BUKIT BATOK CENTRAL LINK #B1-23 SINGAPORE 658713"
"In-Mall & Building","Northpoint City","RESTAURANT","SUSHI EXPRESS","1 NORTHPOINT DRIVE #B1-150 SINGAPORE 768019"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","SUSHI EXPRESS","83 PUNGGOL CENTRAL #01-25 SINGAPORE 828761"
"Street","Stanley Street","RESTAURANT","SUSHI HARE","14 STANLEY STREET SINGAPORE 068733"
"Street","Tanjong Pagar Road","RESTAURANT","SUSHI KATORI","21 TANJONG PAGAR ROAD #01-03 SINGAPORE 088444"
"Street","Telok Ayer Street","RESTAURANT","SUSHI KAWASEMI","120 TELOK AYER STREET SINGAPORE 068589"
"Street","Mohamed Sultan Road","RESTAURANT","SUSHI OONO","14 MOHAMED SULTAN ROAD #01-01 SINGAPORE 238963"
"In-Mall & Building","Bugis Junction","RESTAURANT","SUSHI PLUS","200 VICTORIA STREET #02-53 SINGAPORE 188021"
"In-Mall & Building","Northpoint City","RESTAURANT","SUSHI TEI","930 YISHUN AVENUE 2 #02-15 SINGAPORE 769098"
"Street","Cecil Street","RESTAURANT","SUSHI TO SUMI","20 CECIL STREET #02-01 SINGAPORE 049705"
"In-Mall & Building","I12 Katong","RESTAURANT","SUSHI ZANMAI","112 EAST COAST ROAD #02-01/02 SINGAPORE 428802"
"In-Mall & Building","Tampines Mall","RESTAURANT","SUSHI ZANMAI","4 TAMPINES CENTRAL 5 #04-32 SINGAPORE 529510"
"In-Mall & Building","IMM Building","RESTAURANT","SUSHI ZANMAI","2 JURONG EAST ST 21 #02-23 SINGAPORE 609601"
"In-Mall & Building","Westgate","RESTAURANT","SUSHI ZUSHI","3 GATEWAY DRIVE #03-01 SINGAPORE 608532"
"In-Mall & Building","New Bahru","RESTAURANT","SUSHIRO","46 & 58 KIM YAM RD #02-01 SINGAPORE 239351"
"In-Mall & Building","Holland Road Shopping Centre","RESTAURANT","SUSHIRO","211 HOLLAND AVENUE #02-01/40-46 SINGAPORE 278967"
"In-Mall & Building","Bedok Mall","RESTAURANT","SUSHIRO","311 NEW UPPER CHANGI ROAD #B1-10 SINGAPORE 467360"
"In-Mall & Building","Lot One","RESTAURANT","SUSHIRO","21 CHOA CHU KANG AVENUE 4 #03-10/11/12 SINGAPORE 689812"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","SUSHIRO","83 PUNGGOL CENTRAL #01-31/32 SINGAPORE 828761"
"Street","Serangoon Garden Way","RESTAURANT","SUSHI-TEI ","64/64A SERANGOON GARDEN WAY SINGAPORE 555960"
"In-Mall & Building","NEX","RESTAURANT","SUSHI-TEI ","23 SERANGOON CENTRAL #03-15/16 SINGAPORE 556083"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","SUTERWALA'S","211 HOLLAND AVENUE #03-06A SINGAPORE 278967"
"Street","Neil Road","RESTAURANT","SUZUKI","83 NEIL ROAD #01-09 SINGAPORE 089813"
"In-Mall & Building","The Star Vista","RETAIL","SWEE LEE ","1 VISTA EXCHANGE GREEN #01-07-10 SINGAPORE 138617"
"Street","Lorong Mambong","RESTAURANT","SWEET CHEEKS ","24 LORONG MAMBONG #01-01 SINGAPORE 277683"
"In-Mall & Building","Bugis Junction","RESTAURANT","SWENSEN'S","200 VICTORIA STREET #01-68 SINGAPORE 188021"
"In-Mall & Building","Parkway Parade","RESTAURANT","SWENSEN'S","80 MARINE PARADE ROAD #B1-33/34 SINGAPORE 449269"
"In-Mall & Building","Bedok Mall","RESTAURANT","SWENSEN'S","311 NEW UPPER CHANGI ROAD #01-77 SINGAPORE 467360"
"In-Mall & Building","Plaza Singapura","RESTAURANT","SWENSEN'S","68 ORCHARD ROAD #03-23 SINGAPORE 528881"
"In-Mall & Building","Tampines Mall","RESTAURANT","SWENSEN'S","4 TAMPINES CENTRAL 5 #03-30 SINGAPORE 529510"
"In-Mall & Building","NEX","RESTAURANT","SWENSEN'S","23 SERANGOON CENTRAL #02-07/08 SINGAPORE 556083"
"In-Mall & Building","Junction 8","RESTAURANT","SWENSEN'S","9 BISHAN PLACE #01-39 SINGAPORE 579837"
"In-Mall & Building","IMM Building","RESTAURANT","SWENSEN'S","2 JURONG EAST STREET 21 #01-111 SINGAPORE 609601"
"In-Mall & Building","West Mall","RESTAURANT","SWENSEN'S","1 BUKIT BATOK CENTRAL LINK #02-29 SINGAPORE 658713"
"In-Mall & Building","Northpoint City","RESTAURANT","SWENSEN'S","930 YISHUN AVENUE 2 #02-14 SINGAPORE 769098"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","SWENSEN'S","83 PUNGGOL CENTRAL #02-35 SINGAPORE 828761"
"Street","Jalan Kubor","RESTAURANT","SYMMETRY","9 JALAN KUBOR #01-01 SINGAPORE 199206"
"In-Mall & Building","Northpoint City","RETAIL","SYOU JIN","1 NORTHPOINT DRIVE #B1-159/166/167 SINGAPORE 768019"
"In-Mall & Building","Parkway Parade","RETAIL","SYOUJIN","80 MARINE PARADE ROAD #03-02/03 SINGAPORE 449269"
"In-Mall & Building","Junction 8","RETAIL","SYOUJIN ","9 BISHAN PLACE #02-18 SINGAPORE 689812"
"Street","Liang Seah Street","RESTAURANT","TAAN ASIAN GRILL BAR","30 LIANG SEAH STREET SINGAPORE 189051"
"Street","Liang Seah Street","RESTAURANT","TAAN IZA-BAR","1 LIANG SEAH STREET #01-03/04 SINGAPORE 189022"
"Street","Arab Street","RETAIL","TABAC 101","38 ARAB ST SINGAPORE 198902"
"Street","Bussorah Street","RESTAURANT","TABBOULEH","54 BUSSORAH STREET SINGAPORE 199470"
"In-Mall & Building","The Star Vista","RETAIL","TABLE MATTERS","1 VISTA EXCHANGE GREEN #01-29/30 SINGAPORE 138617"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","TABLINE","211 HOLLAND AVENUE #02-14 SINGAPORE 278967"
"Street","North Bridge Road","RETAIL","TACKLE WORLD UNLIMITED","13 NORTH BRIDGE ROAD #01-3972 SINGAPORE 190013"
"Street","Lorong Liput","RESTAURANT","TAI CHEONG BAKERY","31 LORONG LIPUT SINGAPORE 277742"
"In-Mall & Building","Northpoint City","RESTAURANT","TAI CHEONG BAKERY","1 NORTHPOINT DRIVE #B2-102 SINGAPORE 768019"
"Street","Sago Street","RESTAURANT","TAI CHONG KOK","38 SAGO STREET SINGAPORE 059028"
"In-Mall & Building","Tampines Mall","RESTAURANT","TAI CHONG KOK","4 TAMPINES CENTRAL 5 #B1-K11 SINGAPORE 529510"
"In-Mall & Building","Northpoint City","RESTAURANT","TAI CHONG KOK","930 YISHUN AVENUE 2 #B1-47 SINGAPORE 769098"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","TAI CHONG KOK","83 PUNGGOL CENTRAL #B2-24 SINGAPORE 828761"
"In-Mall & Building","Paya Lebar Quarter","RESTAURANT","TAI ER SAUERKRAUT FISH","10 PAYA LEBAR ROAD #04-10 SINGAPORE 409057"
"In-Mall & Building","NEX","RESTAURANT","TAI ER SUANCAI & FISH","23 SERANGOON CENTRAL #03-11/12/13 SINGAPORE 556089"
"In-Mall & Building","100AM","RESTAURANT","TAKAGI COFFEE","100 TRAS STREET #01-14B SINGAPORE 079027"
"In-Mall & Building","Dhoby Xchange","RESTAURANT","TAKAGI RAMEN","11 ORCHARD ROAD #B1-11 SINGAPORE 238826"
"Street","Mohamed Sultan Road","RESTAURANT","TAKAHASHI","4 MOHAMED SULTAN ROAD #01-01 SINGAPORE 238955"
"Street","North Bridge Road","RETAIL","TAKANISHI INTERNATIONAL","1 NORTH BRIDGE ROAD #01-17/23 SINGAPORE 179094"
"Street","Lorong Mambong","RESTAURANT","TAKEDA GARDEN","16A LORONG MAMBONG #03 SINGAPORE 277677"
"Street","Lorong Mambong","RESTAURANT","TAKESHI-SAN","38 LORONG MAMBONG SINGAPORE 277694"
"In-Mall & Building","Holland Road Shopping Centre","RESTAURANT","TAKUMI SAKABA","211 HOLLAND AVENUE #02-38 SINGAPORE 278967"
"In-Mall & Building","Tanjong Pagar Plaza","RETAIL","TALENT ARTS FRAME MAKERS","1 TANJONG PAGAR PLAZA #01-19 SINGAPORE 082001"
"In-Mall & Building","NEX","RESTAURANT","TAMAGO EN - NEX","23 SERANGOON CENTRAL #02-K5/K6 SINGAPORE 556083"
"In-Mall & Building","Bedok Mall","RESTAURANT","TAMJAI SAMGOR MIXIAN","311 NEW UPPER CHANGI ROAD #B1-52 SINGAPORE 467360"
"In-Mall & Building","Junction 8","RESTAURANT","TAMJAI SAMGOR MIXIAN","9 BISHAN PLACE #B1-20 SINGAPORE 579837"
"In-Mall & Building","Lot One","RESTAURANT","TAMJAI SAMGOR MIXIAN","21 CHOA CHU KANG AVENUE 4 #B1-10/11 SINGAPORE 689812"
"Street","Punggol Settlement","RESTAURANT","TANDOOR LOUNGE","500 NEW PUNGGOL ROAD #02-11 SINGAPORE 828617"
"Street","Boon Tat Street","RESTAURANT","TANDOORI CULTURE","5 BOON TAT STREET #01-01 SINGAPORE 069613"
"Street","Lorong Mambong","RESTAURANT","TANGO RESTAURANT AND WINE BAR","35 LORONG MAMBONG SINGAPORE 277692"
"In-Mall & Building","Bugis Junction","RESTAURANT","TANYU BUGIS JUNCTION","200 VICTORIA STREET #02-45 SINGAPORE 188021"
"In-Mall & Building","Westgate","RESTAURANT","TANYU WESTGATE","3 GATEWAY DRIVE #B1-01/02 SINGAPORE 608532"
"Street","Stanley Street","RESTAURANT","TAPASU OYSTER GASTRO BAR","29 STANLEY STREET #01-01 SINGAPORE 068738"
"Street","North Bridge Road","RETAIL","TARA APOTHECARY","452 NORTH BRIDGE ROAD #05-00 SINGAPORE 188733"
"In-Mall & Building","International Plaza","RETAIL","TARA FEMINITE FASHION","10 ANSON ROAD #28-01A SINGAPORE 079903"
"Street","Kandahar Street","RESTAURANT","TASH TISH TOSH","50 KANDAHAR STREET SINGAPORE 198900"
"Street","East Coast Park","RESTAURANT","TASH TISH TOSH","1000 EAST COAST PARKWAY #01-02 SINGAPORE 449876"
"Street","Amoy Street","RESTAURANT","TASTE OF KOREA","109 AMOY STREET SINGAPORE 069929"
"In-Mall & Building","Bugis Junction","RESTAURANT","TASTYHOUSE","200 VICTORIA STREET #03-30D SINGAPORE 188021"
"In-Mall & Building","Chijmes","RESTAURANT","TATSU","30 VICTORIA STREET #01-08 SINGAPORE 187996"
"In-Mall & Building","Chijmes","RESTAURANT","TATSU - KOME BAR","30 VICTORIA STREET #01-10 SINGAPORE 187996"
"Street","Mohamed Sultan Road","RESTAURANT","TCC","80 MOHAMED SULTAN ROAD #01-01/02 SINGAPORE 239013"
"Street","Neil Road","RETAIL","TEA CHAPTER","9/9A NEIL ROAD SINGAPORE 088808"
"In-Mall & Building","I12 Katong","RESTAURANT","TEA PULSE","112 EAST COAST ROAD #B1-47 SINGAPORE 428802"
"Street","South Bridge Road","RESTAURANT","TEA TIME","280A SOUTH BRIDGE ROAD #02-01 SINGAPORE 058829"
"In-Mall & Building","Parkway Parade","RETAIL","TECH HOUSE","80 MARINE PARADE ROAD #02-K4 SINGAPORE 449269"
"In-Mall & Building","Tampines Mall","RETAIL","TECH HOUSE","4 TAMPINES CENTRAL 5 #04-03 SINGAPORE 529510"
"In-Mall & Building","NEX","RETAIL","TECH HOUSE","23 SERANGOON CENTRAL #04-K1/K2 SINGAPORE 556083"
"In-Mall & Building","Junction 8","RETAIL","TECH HOUSE","9 BISHAN PLACE #02-38A SINGAPORE 579837"
"In-Mall & Building","Westgate","RETAIL","TECH HOUSE","3 GATEWAY DRIVE #B1-44 SINGAPORE 608532"
"Street","South Bridge Road","RETAIL","TECK SOON MEDICAL HALL ","281 SOUTH BRIDGE ROAD SINGAPORE 058830"
"Street","Temple Street","RETAIL","TECK YIN SOON CHINESE MEDICAL HALL","71 TEMPLE STREET SINGAPORE 058615"
"Street","Telok Ayer Street","RESTAURANT","TEIYOSHIYA","110 TELOK AYER STREET SINGAPORE 068579"
"In-Mall & Building","Holland Road Shopping Centre","RETAIL","TEN FEET TALL","211 HOLLAND AVENUE #02-04 SINGAPORE 278967"
"In-Mall & Building","The Woodleigh Mall","RESTAURANT","TENDERFRESH XPRESS","11 BIDADARI PARK DRIVE #B1-K20/K21 SINGAPORE 367803"
"Street","Middle Road","RESTAURANT","TENGOKU YAKINIKU","112 MIDDLE ROAD #01-00 SINGAPORE 188970"
"Street","Club Street","RESTAURANT","TENSEI","90 CLUB STREET SINGAPORE 069458"
"Street","Joo Chiat Road","RESTAURANT","TEOCHEW TRADITIONAL STEAMBOAT RESTAURANT","176/178 JOO CHIAT ROAD #01-01 SINGAPORE 427447"
"In-Mall & Building","Northpoint City","RESTAURANT","TEPPAN-YAKI","1 NORTHPOINT DRIVE #B1-200 SINGAPORE 768019"
"In-Mall & Building","Bugis Junction","RETAIL","TEVA","200 VICTORIA STREET #02-10C SINGAPORE 188021"
"In-Mall & Building","NEX","RETAIL","TEVA","23 SERANGOON CENTRAL #01-11 SINGAPORE 556083"
"In-Mall & Building","NEX","RESTAURANT","TEXA","23 SERANGOON CENTRAL #04-18/19/20 SINGAPORE 556083"
"Street","Telok Ayer Street","RESTAURANT","THACHANG","171 TELOK AYER STREET SINGAPORE 068621"
"In-Mall & Building","Bugis Junction","RESTAURANT","THACHANG","200 VICTORIA STREET #02-46 SINGAPORE 188021"
"Street","North Bridge Road","RETAIL","THAHIRAH KAZURA PTE. LTD.","705 NORTH BRIDGE ROAD SINGAPORE 198679"
"Street","Upper East Coast Road","RESTAURANT","THAI KHA SEAFOOD","77 UPPER EAST COAST ROAD #01-02 SINGAPORE 455218"
"Street","Siglap Road","RESTAURANT","THAIPAN","13 SIGLAP ROAD SINGAPORE 448911"
"Street","Holland Avenue","RESTAURANT","THAT WINE PLACE","261 HOLLAND AVENUE SINGAPORE 278986"
"In-Mall & Building","One Raffles Place","RESTAURANT","THE ALLEY ","1 RAFFLES PLACE #B1-38 SINGAPORE 048616"
"Street","Holland Road","RESTAURANT","THE ALLEY ","297 HOLLAND ROAD CALTEX STATION SINGAPORE 278629"
"Street","South Bridge Road","RETAIL","THE AMPERSAND","47A SOUTH BRIDGE ROAD SINGAPORE 058680"
"In-Mall & Building","Tampines Mall","RETAIL","THE AROMA HUB","4 TAMPINES CENTRAL 5 #03-K4 SINGAPORE 529510"
"In-Mall & Building","Northpoint City","RETAIL","THE AROMA HUB","930 YISHUN AVENUE 2 #01-18 SINGAPORE 769098"
"Street","Tanjong Katong Road","RESTAURANT","THE ART OF MEE POK ","248 TANJONG KATONG ROAD SINGAPORE 437036"
"In-Mall & Building","Republic Plaza","RESTAURANT","THE BACKYARD BAKERS","9 RAFFLES PLACE #01-07 SINGAPORE 048619"
