"mall_or_street","mall_or_street_name","merchant_category","merchant_name","address"
"In-Mall & Building","Plaza Singapura","RETAIL","ALDO ","68 ORCHARD ROAD #01-24 SINGAPORE 238839"
"In-Mall & Building","IMM Building","RETAIL","ALDO ","2 JURONG EAST STREET 21 #01-77 SINGAPORE 609601"
"Street","Temple Street","RETAIL","ALEX WONG","62 TEMPLE STREET #01-03 SINGAPORE 058607"
"Street","Arab Street","RETAIL","ALIBABA TEXTILES ","115 ARAB STREET SINGAPORE 199810"
"In-Mall & Building","Icon Village","RESTAURANT","ALICE BOULANGERIE","12 GOPENG STREET #01-05 SINGAPORE 078877"
"Street","North Bridge Road","RESTAURANT","AL-IMAM BANANA LEAF","742 NORTH BRIDGE ROAD SINGAPORE 198710"
"Street","Kreta Ayer Road","RETAIL","ALISHA & LACE WEDDING","25 KRETA AYER ROAD SINGAPORE 088993"
"Street","Arab Street","RETAIL","ALJUNIED BROTHERS","95 ARAB STREET SINGAPORE 199791"
"Street","Pagoda Street","RETAIL","ALL GIFTS","62 PAGODA STREET SINGAPORE 059221"
"Street","Syed Alwi Road","RETAIL","ALL GIFTS","129 SYED ALWI ROAD SINGAPORE 207693"
"Street","Arab Street","RETAIL","ALL THINGS DELICIOUS","34 ARAB STREET #01-01 SINGAPORE 199733"
"In-Mall & Building","Bugis Junction","RETAIL","ALL WATCHES ","200 VICTORIA STREET #01-104/105 SINGAPORE 188021"
"In-Mall & Building","Bugis Junction","RESTAURANT","ALLEY.WEI","200 VICTORIA STREET #B1-K23 SINGAPORE 188021"
"In-Mall & Building","Tampines Mall","RESTAURANT","ALLEY.WEI","4 TAMPINES CENTRAL 5 #B1-K21 SINGAPORE 529510"
"In-Mall & Building","Northpoint City","RESTAURANT","ALLEY.WEI","1 NORTHPOINT DRIVE #B1-151 SINGAPORE 768019"
"Street","Bukit Pasoh Road","RETAIL","ALLUMER ","10A BUKIT PASOH ROAD SINGAPORE 089824"
"In-Mall & Building","West Mall","RETAIL","ALLURE BEAUTY SALOON","1 BUKIT BATOK CENTRAL LINK #04-10 SINGAPORE 658713"
"In-Mall & Building","Chijmes","RESTAURANT","ALMOST FAMOUS","30 VICTORIA STREET #01-06 SINGAPORE 187996"
"In-Mall & Building","Bugis Cube","RETAIL","ALTAIR DREAM ART ","470 NORTH BRIDGE ROAD #03-18 SINGAPORE 188735"
"Street","Maju Avenue","RETAIL","AM OPTOMETRIST","3 MAJU AVENUE SINGAPORE 556681"
"In-Mall & Building","Bedok Mall","RETAIL","AMAZING HEARING","311 NEW UPPER CHANGI ROAD #B2-48A SINGAPORE 307470"
"In-Mall & Building","NEX","RETAIL","AMAZING HEARING CENTRE","23 SERANGOON CENTRAL #B1-50/51 SINGAPORE 556083"
"In-Mall & Building","One Raffles Place","RETAIL","AMBER BEILA BEAUTY ","1 RAFFLES PLACE #05-19 SINGAPORE 048616"
"In-Mall & Building","Junction 8","RESTAURANT","AMBUSH","9 BISHAN PLACE #02-19/20/27 SINGAPORE 579837"
"Street","Stanley Street","RESTAURANT","AMERICAN TAPROOM","2 STANLEY STREET SINGAPORE 068721"
"In-Mall & Building","One Raffles Place","RESTAURANT","AMMAKASE","1 RAFFLES PLACE #04-48 SINGAPORE 048616"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","AN ACAI AFFAIR","83 PUNGGOL CENTRAL #02-36B SINGAPORE 828761"
"In-Mall & Building","The Star Vista","RESTAURANT","AN ACAI AFFAIR ","1 VISTA EXCHANGE GREEN #02-28 SINGAPORE 138617"
"Street","Haji Lane","RESTAURANT","AN ACAI AFFAIR ","44 HAJI LANE SINGAPORE 189237"
"Street","East Coast Road","RESTAURANT","AN ACAI AFFAIR ","101 EAST COAST ROAD SINGAPORE 428796"
"In-Mall & Building","NEX","RESTAURANT","AN ACAI AFFAIR ","23 SERANGOON CENTRAL #B2-53 SINGAPORE 556083"
"In-Mall & Building","Westgate","RETAIL","AN ACAI AFFAIR ","3 GATEWAY DRIVE #B1-30 SINGAPORE 608532"
"Street","Sago Street","RESTAURANT","AN LA GHIEN","22 SAGO STREET SINGAPORE 059019"
"Street","Keong Saik Road","RESTAURANT","AN OMAKASE","33 KEONG SAIK ROAD SINGAPORE 089140"
"Street","Middle Road","RETAIL","AN QI SPA","135 MIDDLE ROAD #01-10/11 SINGAPORE 188975"
